#;TITLE;ALTERNATIVE;CREATOR;SUBJECT;DESCRIPTION;ABSTRACT;PUBLISHER;CONTRIBUTOR;DATE;TYPE;EXTENT;MEDIUM;IDENTIFIER;SOURCE;LANGUAGE;REFERENCES;SPATIAL;ATTRIBUTION NAME;ATTRIBUTION URL;LICENSE;DATESTAMP
1;Close opnamen wolf;;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);alert, bossen, buitenopname, Canis lupus lupus, close, dag, Europese wolven, extreem close, fauna, lopen, totaal, winter, zonnig, zoogdieren;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden ( www.natuurbeelden.nl).;Close opnamen van de kop van een wolf. De wolf loopt door een bosomgeving en lijkt alert. De opnamen zijn gemaakt in gevangenschap.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Enting, Luc (camera);11/13/2012;Moving Image;140;http://www.openbeelden.nl/files/01/70/170991.170950.EF09141_4_WOL-NAT.mp4, http://www.openbeelden.nl/files/01/70/170993.170950.EF09141_4_WOL-NAT.mp4, http://www.openbeelden.nl/files/01/70/170950.EF09141_4_WOL-NAT.mp4, http://www.openbeelden.nl/files/01/70/170995.170950.EF09141_4_WOL-NAT.webm, http://www.openbeelden.nl/files/01/70/170987.170950.EF09141_4_WOL-NAT.ogv, http://www.openbeelden.nl/files/01/70/170989.170950.EF09141_4_WOL-NAT.ogv, http://www.openbeelden.nl/files/01/70/171032.170950.EF09141_4_WOL_NAT.m3u8, http://www.openbeelden.nl/files/01/70/170953.170950.EF09141_4_WOL-NAT.mpeg, http://www.openbeelden.nl/files/01/70/170997.170950.EF09141_4_WOL-NAT.ts, http://www.openbeelden.nl/images/599429/Close_opnamen_wolf_%281_10%29.png;4619721;EF09141_4_WOL-NAT00Z01NI2;nl;;Anholt, Duitsland;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);http://www.openbeelden.nl/media/170951;http://creativecommons.org/licenses/by-sa/3.0/nl/;5/19/2016
2;Hamsterpaar in burcht;;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);avond, close, Cricetus cricetus, eten, fauna, hamsters, interieur, landbouwgebieden, poetsen, slapen, totaal, zomer, zoogdieren;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden ( www.natuurbeelden.nl).;In een ondergrondse burcht eten, poetsen en slapen twee hamsters (korenwolven). De opnamen zijn gemaakt in gevangenschap.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Enting, Luc (camera);11/14/2012;Moving Image;580;http://www.openbeelden.nl/files/01/71/171485.171457.0485_1_HAMSTE-NAT.mp4, http://www.openbeelden.nl/files/01/71/171487.171457.0485_1_HAMSTE-NAT.mp4, http://www.openbeelden.nl/files/01/71/171457.0485_1_HAMSTE-NAT.mp4, http://www.openbeelden.nl/files/01/71/171489.171457.0485_1_HAMSTE-NAT.webm, http://www.openbeelden.nl/files/01/71/171481.171457.0485_1_HAMSTE-NAT.ogv, http://www.openbeelden.nl/files/01/71/171483.171457.0485_1_HAMSTE-NAT.ogv, http://www.openbeelden.nl/files/01/71/171519.171457.0485_1_HAMSTE_NAT.m3u8, http://www.openbeelden.nl/files/01/71/171462.171457.0485_1_HAMSTE-NAT.mpeg, http://www.openbeelden.nl/files/01/71/171491.171457.0485_1_HAMSTE-NAT.ts, http://www.openbeelden.nl/images/599440/Hamsterpaar_in_burcht_%284_50%29.png;4454950;0485_1_HAMSTE-NAT00Z00TV0;nl;;Limburg, Maastricht, Nederland;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);http://www.openbeelden.nl/media/171458;http://creativecommons.org/licenses/by-sa/3.0/nl/;5/19/2016
3;Jonge hamsters worden gezoogd;;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);close, cricetus cricetus, drinken, fauna, hamsters, interieur, landbouwgebieden, nacht, totaal, voorjaar, zogen, zoogdieren;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden ( www.natuurbeelden.nl).;Korenwolven (hamsters) van twee weken oud worden gezoogd in een hamsterburcht.ÿDe opnamen zijn gemaakt in gevangenschap.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Enting, Luc (camera);11/15/2012;Moving Image;815;http://www.openbeelden.nl/files/01/71/171635.171609.0486_1_KORJON-NAT.mp4, http://www.openbeelden.nl/files/01/71/171637.171609.0486_1_KORJON-NAT.mp4, http://www.openbeelden.nl/files/01/71/171609.0486_1_KORJON-NAT.mp4, http://www.openbeelden.nl/files/01/71/171639.171609.0486_1_KORJON-NAT.webm, http://www.openbeelden.nl/files/01/71/171631.171609.0486_1_KORJON-NAT.ogv, http://www.openbeelden.nl/files/01/71/171633.171609.0486_1_KORJON-NAT.ogv, http://www.openbeelden.nl/files/01/71/171761.171609.0486_1_KORJON_NAT.m3u8, http://www.openbeelden.nl/files/01/71/171612.171609.0486_1_KORJON-NAT.mpeg, http://www.openbeelden.nl/files/01/71/171641.171609.0486_1_KORJON-NAT.ts, http://www.openbeelden.nl/images/599444/Jonge_hamsters_worden_gezoogd_%286_47%29.png;4455154;0486_1_KORJON-NAT00Z00UEX;nl;;Limburg, Maastricht, Nederland;Enting Films (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder);http://www.openbeelden.nl/media/171610;http://creativecommons.org/licenses/by-sa/3.0/nl/;5/19/2016
4;Scholeksters verzorgen jong op dak;;Nederlands Instituut voor Beeld en Geluid, Stichting Natuurbeelden;Aves, Charadriiformes, Chordata, Haematopodidae, Haematopus ostralegus, aangeleerd gedrag, bewolkt, buitenopname, exterieur, fauna, gewervelden, lopen, ochtend, oefenen, opvoeden, scholekster, scholeksters, stedelijke gebieden, steltloperachtigen, totaal, verzorgen, voeren, vogels, voorjaar, voortbewegen, wijd, zomer;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Op het dak van een schoolgebouw heeft een paartje scholeksters een jong uit gebroed. Het jong kan nog niet vliegen en de ouders zijn vaak in de buurt. Het jong doet al oefeningen met de vleugels. Eerst is het dak in de omgeving zichtbaar. Het dak is bedekt met kiezels. Hier en daar zijn lichtkoepels te zien, afzuiginstallaties en ontluchtingspijpen. Een van de oudervogels zit veelal op een iets hoger gelegen deel van het dak en houdt vanaf de rand toezicht op het jong. Het jong is mobiel en rent geregeld over het dak in de richting van een van de ouders wanneer die in de buurt is. Ook loopt het rond, pikt tussen de kiezels, poetst de veren en strekt de vleugels. Op een zeker moment zit het beschut tegen een klapraam. Een van de oudervogels komt dan naar het jong toe en nestelt zich vlakbij op het dak. Het jong komt dan bij de oudervogel zitten. Na een poosje loopt het jong weg. Daarna is het jong vanaf diverse posities te zien als het zich poetst of als het heen en weer rent. De oudervogels zijn altijd in de buurt. Tenslotte is het jong samen met een oudervogel op een deel van het dak te zien waar geen kiezels liggen. Ze lopen hier langs de rand. De oudervogel kijkt over de rand. Er is een deel van een grasveldje zichtbaar. (Hier vliegt het jong in een vervolgclip van het dak af.) Verschillende gedragingen. Diverse kaders. Samengestelde clip.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Berents, Boris (camera);6/20/2013;Moving Image;905;http://www.openbeelden.nl/files/08/15/815897.815890.VKB009_002_22-NAT00Z04C02.mp4, http://www.openbeelden.nl/files/08/15/815899.815890.VKB009_002_22-NAT00Z04C02.mp4, http://www.openbeelden.nl/files/08/15/815890.VKB009_002_22-NAT00Z04C02.mp4, http://www.openbeelden.nl/files/08/15/815901.815890.VKB009_002_22-NAT00Z04C02.webm, http://www.openbeelden.nl/files/08/15/815893.815890.VKB009_002_22-NAT00Z04C02.ogv, http://www.openbeelden.nl/files/08/15/815895.815890.VKB009_002_22-NAT00Z04C02.ogv, http://www.openbeelden.nl/files/08/15/815919.815890.VKB009_002_22_NAT00Z04C02.m3u8, http://www.openbeelden.nl/files/08/15/815903.815890.VKB009_002_22-NAT00Z04C02.ts, http://www.openbeelden.nl/images/816039/Scholeksters_verzorgen_jong_op_dak_%287_32%29.png;5231704;VKB009_002_22-NAT00Z04C02;nl;;Nederland, Flevoland, Almere, Stedenwijk;Nederlands Instituut voor Beeld en Geluid, Stichting Natuurbeelden;http://www.openbeelden.nl/media/815886;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/29/2015
5;Eilandspolder waterwegen;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;buitenopname, cultuurlandschappen, landschappen, middag, totaal, weilanden, wijd, zomer, zonnig, zonsondergang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Eilandspolder smalle waterwegen, begroeiing op velden, ganzen, dorpsgezicht en kerktoren.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);7/7/2012;Moving Image;658;http://www.openbeelden.nl/files/08/15/815702.815662.ATELES131EIL6-NAT00Z04235.mp4, http://www.openbeelden.nl/files/08/15/815704.815662.ATELES131EIL6-NAT00Z04235.mp4, http://www.openbeelden.nl/files/08/15/815662.ATELES131EIL6-NAT00Z04235.mp4, http://www.openbeelden.nl/files/08/15/815706.815662.ATELES131EIL6-NAT00Z04235.webm, http://www.openbeelden.nl/files/08/15/815697.815662.ATELES131EIL6-NAT00Z04235.ogv, http://www.openbeelden.nl/files/08/15/815699.815662.ATELES131EIL6-NAT00Z04235.ogv, http://www.openbeelden.nl/files/08/15/815883.815662.ATELES131EIL6_NAT00Z04235.m3u8, http://www.openbeelden.nl/files/08/15/815709.815662.ATELES131EIL6-NAT00Z04235.ts, http://www.openbeelden.nl/images/815827/Eilandspolder_waterwegen_%285_29%29.png;5026057;ATELES131EIL6-NAT00Z04235;nl;;Nederland, Graft, Eilandspolder, Noord-Holland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815658;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/29/2015
6;Friese Wouden landschappen;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Anser anser, Ovis aries, Phalacrocorax carbo, aalschovers, avond, boerderijdieren, buitenopname, close, cultuurlandschappen, elzenpoppen, extreem close, fauna, flora, ganzen, grazen, heggen, landschappen, middag, rozebottels, schapen, totaal, vliegen, vogels, weilanden, wijd, winter, zonnig;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Friese Wouden landschappen met elzenpoppen, besjes, ganzen, schapen, hakhout, elzensingels en een aalschover.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);12/12/2012;Moving Image;690;http://www.openbeelden.nl/files/08/15/815768.815674.ATELES131FRW5-NAT00Z0423B.mp4, http://www.openbeelden.nl/files/08/15/815770.815674.ATELES131FRW5-NAT00Z0423B.mp4, http://www.openbeelden.nl/files/08/15/815674.ATELES131FRW5-NAT00Z0423B.mp4, http://www.openbeelden.nl/files/08/15/815772.815674.ATELES131FRW5-NAT00Z0423B.webm, http://www.openbeelden.nl/files/08/15/815764.815674.ATELES131FRW5-NAT00Z0423B.ogv, http://www.openbeelden.nl/files/08/15/815766.815674.ATELES131FRW5-NAT00Z0423B.ogv, http://www.openbeelden.nl/files/08/15/815807.815674.ATELES131FRW5_NAT00Z0423B.m3u8, http://www.openbeelden.nl/files/08/15/815774.815674.ATELES131FRW5-NAT00Z0423B.ts, http://www.openbeelden.nl/images/815825/Friese_Wouden_landschappen_%285_45%29.png;5026047;ATELES131FRW5-NAT00Z0423B;nl;;Nederland, Friese Wouden, Eastermar, Friesland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815670;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/29/2015
7;Eilandspolder dieren langs water;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Anas platyrhynchos, Anser anser, Bos taurus, Branta leucopsis, Chroicocephalus ridibundus, Ovis aries, Vanellus vanellus, boerderijdieren, buitenopname, close, cultuurlandschappen, fauna, ganzen, kieviten, koeien, landschappen, meeuwen, middag, planten, schapen, totaal, vogels, weilanden, wijd, wilde eenden, zomer, zonnig, zonsondergang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Eilandspolder koeien in het veld vanaf water gezien, eenden, spreeuwen, kokmeeuw, kievit, ganzen en schapen.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);7/7/2012;Moving Image;655;http://www.openbeelden.nl/files/08/15/815542.815446.ATELES131EIL5-NAT00Z04234.mp4, http://www.openbeelden.nl/files/08/15/815544.815446.ATELES131EIL5-NAT00Z04234.mp4, http://www.openbeelden.nl/files/08/15/815446.ATELES131EIL5-NAT00Z04234.mp4, http://www.openbeelden.nl/files/08/15/815546.815446.ATELES131EIL5-NAT00Z04234.webm, http://www.openbeelden.nl/files/08/15/815538.815446.ATELES131EIL5-NAT00Z04234.ogv, http://www.openbeelden.nl/files/08/15/815540.815446.ATELES131EIL5-NAT00Z04234.ogv, http://www.openbeelden.nl/files/08/15/815576.815446.ATELES131EIL5_NAT00Z04234.m3u8, http://www.openbeelden.nl/files/08/15/815548.815446.ATELES131EIL5-NAT00Z04234.ts, http://www.openbeelden.nl/images/815612/Eilandspolder_dieren_langs_water_%285_27%29.png;5026058;ATELES131EIL5-NAT00Z04234;nl;;Nederland, Graft, Eilandspolder, Noord-Holland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815442;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
8;Scholeksters leren hun jong foerageren op een dak;;Nederlands Instituut voor Beeld en Geluid, Stichting Natuurbeelden;Aves, Charadriiformes, Chordata, Haematopodidae, Haematopus ostralegus, aangeleerd gedrag, bewolkt, buitenopname, exterieur, fauna, gewervelden, lopen, ochtend, oefenen, opvoeden, scholekster, scholeksters, stedelijke gebieden, steltloperachtigen, totaal, verzorgen, voeren, vogels, voortbewegen, wijd, zomer;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Op het dak van een schoolgebouw heeft een paartje scholeksters een jong uit gebroed. Het jong kan nog niet vliegen en de ouders zijn vaak in de buurt. Het jong doet vliegoefeningen en krijgt les in foerageertechnieken. Het dak is bedekt met kiezels. Hier en daar zijn lichtkoepels te zien, afzuiginstallaties en ontluchtingspijpen. Eerst zijn enkele profielen te zien van de volwassen scholeksters op de dakrand. De adulten kijken rond en poetsen hun veren. Daarna is een adult te zien naast het jong. Het jong krijgt les in foerageertechnieken. De volwassen scholekster toucheert en verplaatst een kiezel. Het jong doet dit na bij dezelfde kiezel, en later met een stukje hout. Dan loopt de adult weg. Iets later zit een adult op de kiezelondergrond en steekt de snavel achterlangs tussen de vleugels. Na een poosje staat de vogel op en loopt uit beeld. Daarna staat het jong aan de dakrand, strekt de vleugels en loopt wat rond. Het krijgt een worm te eten. Daarna doet het jong wat vliegoefeningen. Het rent over het dak en klapwiekt met de vleugels. Vervolgens is een adult aan de dakrand zichtbaar, terwijl een tweede aanvliegt met voedsel in de snavel. Het jong wordt gevoerd. Daarna staat een adult aan de dakrand, terwijl het jong voorbij loopt. Dan doet het jong oefent het jong nog wat foerageertechnieken met een stokje. Tenslotte is een adult zichtbaar die een van de vleugels uitstrekt. Verschillende gedragingen. Diverse kaders. Samengestelde clip.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Berents, Boris (camera);6/27/2013;Moving Image;629;http://www.openbeelden.nl/files/08/15/815492.815433.VKB010_002_27-NAT00Z04C03.mp4, http://www.openbeelden.nl/files/08/15/815494.815433.VKB010_002_27-NAT00Z04C03.mp4, http://www.openbeelden.nl/files/08/15/815433.VKB010_002_27-NAT00Z04C03.mp4, http://www.openbeelden.nl/files/08/15/815496.815433.VKB010_002_27-NAT00Z04C03.webm, http://www.openbeelden.nl/files/08/15/815488.815433.VKB010_002_27-NAT00Z04C03.ogv, http://www.openbeelden.nl/files/08/15/815490.815433.VKB010_002_27-NAT00Z04C03.ogv, http://www.openbeelden.nl/files/08/15/815565.815433.VKB010_002_27_NAT00Z04C03.m3u8, http://www.openbeelden.nl/files/08/15/815498.815433.VKB010_002_27-NAT00Z04C03.ts, http://www.openbeelden.nl/images/815642/Scholeksters_leren_hun_jong_foerageren_op_een_dak_%285_14%29.png;5231703;VKB010_002_27-NAT00Z04C03;nl;;Nederland, Flevoland, Almere, Stedenwijk;Nederlands Instituut voor Beeld en Geluid, Stichting Natuurbeelden;http://www.openbeelden.nl/media/815429;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
9;Maasheggen luchtopnames in winter;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;aerials, buitenopname, cultuurlandschappen, landschappen, luchtopname, middag, octocopter, totaal, weilanden, wijd, winter, zonnig, zonsondergang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Maasheggen landschap met knotwilgen, vlechtheggen, perceeltjes.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);12/13/2012;Moving Image;594;http://www.openbeelden.nl/files/08/15/815452.815421.ATELES131MAA4-NAT00Z0423H.mp4, http://www.openbeelden.nl/files/08/15/815454.815421.ATELES131MAA4-NAT00Z0423H.mp4, http://www.openbeelden.nl/files/08/15/815421.ATELES131MAA4-NAT00Z0423H.mp4, http://www.openbeelden.nl/files/08/15/815456.815421.ATELES131MAA4-NAT00Z0423H.webm, http://www.openbeelden.nl/files/08/15/815448.815421.ATELES131MAA4-NAT00Z0423H.ogv, http://www.openbeelden.nl/files/08/15/815450.815421.ATELES131MAA4-NAT00Z0423H.ogv, http://www.openbeelden.nl/files/08/15/815536.815421.ATELES131MAA4_NAT00Z0423H.m3u8, http://www.openbeelden.nl/files/08/15/815458.815421.ATELES131MAA4-NAT00Z0423H.ts, http://www.openbeelden.nl/images/815828/Maasheggen_luchtopnames_in_winter_%284_57%29.png;5026041;ATELES131MAA4-NAT00Z0423H;nl;;Nederland, Boxmeer, Maasheggen, Noord-Brabant;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815417;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
10;Luchtopnames van Eilandspolder landschap;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Bos taurus, aerials, bewolkt, boerderijdieren, buitenopname, cultuurlandschappen, fauna, koeien, landschappen, luchtopname, najaar, ochtend, octocopter, staan, totaal, weilanden, wijd, zonnig, zonsopgang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Eilandspolder landschap met molen De Havik, koeien in het veld, vliegende ganzen en perceeltjes verdeeld door water.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);10/18/2012;Moving Image;570;http://www.openbeelden.nl/files/08/15/815257.815224.ATELES131EIL1-NAT00Z04230.mp4, http://www.openbeelden.nl/files/08/15/815259.815224.ATELES131EIL1-NAT00Z04230.mp4, http://www.openbeelden.nl/files/08/15/815224.ATELES131EIL1-NAT00Z04230.mp4, http://www.openbeelden.nl/files/08/15/815261.815224.ATELES131EIL1-NAT00Z04230.webm, http://www.openbeelden.nl/files/08/15/815252.815224.ATELES131EIL1-NAT00Z04230.ogv, http://www.openbeelden.nl/files/08/15/815254.815224.ATELES131EIL1-NAT00Z04230.ogv, http://www.openbeelden.nl/files/08/15/815406.815224.ATELES131EIL1_NAT00Z04230.m3u8, http://www.openbeelden.nl/files/08/15/815263.815224.ATELES131EIL1-NAT00Z04230.ts, http://www.openbeelden.nl/images/815911/Luchtopnames_van_Eilandspolder_landschap_%284_45%29.png;5026063;ATELES131EIL1-NAT00Z04230;nl;;Nederland, Graft, Eilandspolder, Noord-Holland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815220;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
11;Luchtopnames van bomendijken en heggenlandschap;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;aerials, bewolkt, bomen, bomendijken, buitenopname, cultuurlandschappen, dijken, flora, landschappen, luchtopname, middag, octocopter, totaal, wijd, zomer, zonnig, zonsondergang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Verschillende luchtbeelden van bomendijken in Zeeland bij Nisse, tussen de bomen, eroverheen en langs de perceeltjes.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);10/12/2012;Moving Image;575;http://www.openbeelden.nl/files/08/15/815269.815218.ATELES131BOM2-NAT00Z0422X.mp4, http://www.openbeelden.nl/files/08/15/815271.815218.ATELES131BOM2-NAT00Z0422X.mp4, http://www.openbeelden.nl/files/08/15/815218.ATELES131BOM2-NAT00Z0422X.mp4, http://www.openbeelden.nl/files/08/15/815273.815218.ATELES131BOM2-NAT00Z0422X.webm, http://www.openbeelden.nl/files/08/15/815265.815218.ATELES131BOM2-NAT00Z0422X.ogv, http://www.openbeelden.nl/files/08/15/815267.815218.ATELES131BOM2-NAT00Z0422X.ogv, http://www.openbeelden.nl/files/08/15/815376.815218.ATELES131BOM2_NAT00Z0422X.m3u8, http://www.openbeelden.nl/files/08/15/815275.815218.ATELES131BOM2-NAT00Z0422X.ts, http://www.openbeelden.nl/images/815617/Luchtopnames_van_bomendijken_en_heggenlandschap_%284_47%29.png;5026039;ATELES131BOM2-NAT00Z0422X;nl;;Nisse, Nederland, Zeeland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815214;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
12;Bomendijken met schapen tussen heggen;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Ovis aries, bewolkt, boerderijdieren, buitenopname, close, cultuurlandschappen, extreem close, fauna, grazen, kauwen, kudde, landschappen, lopen, middag, schapen, totaal, weilanden, wijd, zomer, zoogdieren;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Schapen grazen in de wei dichtbij Nisse in Zeeland, tussen de heggen van de bomendijken.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);6/15/2012;Moving Image;590;http://www.openbeelden.nl/files/08/15/815322.815236.ATELES131BOM1-NAT00Z0422W.mp4, http://www.openbeelden.nl/files/08/15/815324.815236.ATELES131BOM1-NAT00Z0422W.mp4, http://www.openbeelden.nl/files/08/15/815236.ATELES131BOM1-NAT00Z0422W.mp4, http://www.openbeelden.nl/files/08/15/815326.815236.ATELES131BOM1-NAT00Z0422W.webm, http://www.openbeelden.nl/files/08/15/815318.815236.ATELES131BOM1-NAT00Z0422W.ogv, http://www.openbeelden.nl/files/08/15/815320.815236.ATELES131BOM1-NAT00Z0422W.ogv, http://www.openbeelden.nl/files/08/15/815366.815236.ATELES131BOM1_NAT00Z0422W.m3u8, http://www.openbeelden.nl/files/08/15/815328.815236.ATELES131BOM1-NAT00Z0422W.ts, http://www.openbeelden.nl/images/815414/Bomendijken_met_schapen_tussen_heggen_%284_55%29.png;5026037;ATELES131BOM1-NAT00Z0422W;nl;;Nisse, Nederland, Zeeland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815229;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
13;Maasheggen landschap in winter;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Landschappen, buitenopname, close, cultuurlandschappen, extreem close, knotessen, middag, rozebottels, totaal, vlechtheggen, weilanden, wijd, winter, zonnig, zonsondergang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Maasheggen landschap met knotwilgen, vlechtheggen, perceeltjes, besjes.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);12/13/2012;Moving Image;591;http://www.openbeelden.nl/files/08/15/815283.815249.ATELES131MAA3-NAT00Z0423G.mp4, http://www.openbeelden.nl/files/08/15/815285.815249.ATELES131MAA3-NAT00Z0423G.mp4, http://www.openbeelden.nl/files/08/15/815249.ATELES131MAA3-NAT00Z0423G.mp4, http://www.openbeelden.nl/files/08/15/815287.815249.ATELES131MAA3-NAT00Z0423G.webm, http://www.openbeelden.nl/files/08/15/815279.815249.ATELES131MAA3-NAT00Z0423G.ogv, http://www.openbeelden.nl/files/08/15/815281.815249.ATELES131MAA3-NAT00Z0423G.ogv, http://www.openbeelden.nl/files/08/15/815344.815249.ATELES131MAA3_NAT00Z0423G.m3u8, http://www.openbeelden.nl/files/08/15/815289.815249.ATELES131MAA3-NAT00Z0423G.ts, http://www.openbeelden.nl/images/815415/Maasheggen_landschap_in_winter_%284_55%29.png;5026042;ATELES131MAA3-NAT00Z0423G;nl;;Nederland, Boxmeer, Maasheggen, Noord-Brabant;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815245;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/28/2015
14;Friese Wouden luchtopnames met koeien;;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;Bos taurus, boerderijdieren, buitenopname, cultuurlandschappen, fauna, grazen, heggen, koeien, landschappen, luchtopname, najaar, ochtend, totaal, weilanden, wijd, zonnig, zonsopgang;Clip gemaakt in de Nederlandse natuur uit de collectie van Stichting Natuurbeelden (www.natuurbeelden.nl).;Luchtopnames van de Friese Wouden met koeien en verschillende heggen.;Stichting  Natuurbeelden, http://www.openbeelden.nl/users/stichting_natuurbeelden;Sanderson, Michael (camera);11/13/2012;Moving Image;572;http://www.openbeelden.nl/files/08/15/815235.815212.ATELES131FRW2-NAT00Z04238.mp4, http://www.openbeelden.nl/files/08/15/815239.815212.ATELES131FRW2-NAT00Z04238.mp4, http://www.openbeelden.nl/files/08/15/815212.ATELES131FRW2-NAT00Z04238.mp4, http://www.openbeelden.nl/files/08/15/815241.815212.ATELES131FRW2-NAT00Z04238.webm, http://www.openbeelden.nl/files/08/15/815227.815212.ATELES131FRW2-NAT00Z04238.ogv, http://www.openbeelden.nl/files/08/15/815230.815212.ATELES131FRW2-NAT00Z04238.ogv, http://www.openbeelden.nl/files/08/15/815316.815212.ATELES131FRW2_NAT00Z04238.m3u8, http://www.openbeelden.nl/files/08/15/815243.815212.ATELES131FRW2-NAT00Z04238.ts, http://www.openbeelden.nl/images/816093/Friese_Wouden_luchtopnames_met_koeien_%284_46%29.png;5026050;ATELES131FRW2-NAT00Z04238;nl;;Nederland, Friese Wouden, Eastermar, Friesland;Nederlands Instituut voor Beeld en Geluid, Sichting Natuurbeelden;http://www.openbeelden.nl/media/815208;http://creativecommons.org/licenses/by-sa/3.0/nl/;9/27/2015
